"06.12.2015, 17:00 ",Нефтяник , Ижсталь ,1,2,
"06.12.2015, 17:00 ",Барс , Торос ,0,2,
"07.12.2015, 16:30 ",Челмет , Динамо ,5,2,
"08.12.2015, 18:30 ",Нефтяник , Торос ,2,0,
"08.12.2015, 19:00 ",Кристалл , Химик ,4,2,
"08.12.2015, 19:00 ",Дизель , ХК Рязань ,0,1,
"08.12.2015, 19:00 ",Барс , Ижсталь ,0,5,
"09.12.2015, 16:30 ",Южный Урал , Динамо ,2,1,
"10.12.2015, 14:00 ",Ермак , Торпедо ,2,0,
"10.12.2015, 15:00 ",Сокол , Сарыарка ,5,6,
"10.12.2015, 18:30 ",ХК Саров , Ижсталь ,3,2,
"10.12.2015, 18:30 ",Ариада , Торос ,1,3,
"10.12.2015, 19:00 ",Кристалл , ХК Рязань ,1,5,
"10.12.2015, 19:00 ",Дизель , Химик ,0,1,  Б 
"11.12.2015, 15:00 ",Челмет , ТХК ,1,2,
"11.12.2015, 16:30 ",Южный Урал , СКА-Нева ,2,1,
"11.12.2015, 17:00 ",Рубин , Динамо ,1,0,
"12.12.2015, 12:00 ",Ермак , Сарыарка ,2,1,  ОТ 
"12.12.2015, 13:00 ",Сокол , Торпедо ,2,1,
"12.12.2015, 17:00 ",Нефтяник , Спутник ,3,2,
"12.12.2015, 17:00 ",Ариада , Ижсталь ,1,3,
"12.12.2015, 17:00 ",ХК Саров , Торос ,5,4,  Б 
"12.12.2015, 17:00 ",Барс , Молот-Прикамье ,2,1,
"13.12.2015, 15:00 ",Зауралье , Динамо ,0,3,
"13.12.2015, 15:00 ",Южный Урал , ТХК ,2,1,
"13.12.2015, 15:00 ",Челмет , СКА-Нева ,0,3,
"13.12.2015, 17:00 ",Кристалл , Буран ,2,3,
"13.12.2015, 17:00 ",Дизель , Звезда ,3,1,
"14.12.2015, 18:30 ",Нефтяник , Молот-Прикамье ,1,0,
"14.12.2015, 19:00 ",Барс , Спутник ,0,2,
"15.12.2015, 16:30 ",Зауралье , СКА-Нева ,2,1,
"15.12.2015, 17:00 ",Рубин , ТХК ,1,4,
"15.12.2015, 19:00 ",Кристалл , Звезда ,2,4,
"15.12.2015, 19:00 ",Дизель , Буран ,0,3,
"16.12.2015, 18:30 ",Ариада , Молот-Прикамье ,4,1,
"16.12.2015, 18:30 ",ХК Саров , Спутник ,8,2,
"17.12.2015, 16:30 ",Зауралье , ТХК ,3,2,  Б 
"17.12.2015, 17:00 ",Рубин , СКА-Нева ,0,7,
"17.12.2015, 18:30 ",Химик , Челмет ,2,3,
"17.12.2015, 19:00 ",ХК Рязань , Южный Урал ,2,0,
"18.12.2015, 18:30 ",ХК Саров , Молот-Прикамье ,4,3,  ОТ 
"18.12.2015, 18:30 ",Ариада , Спутник ,2,1,
"18.12.2015, 19:00 ",Динамо , Барс ,0,2,
