"30.10.2015, 21:00 ",Слован , Ак Барс ,1,2,  Б 
"31.10.2015, 17:00 ",Йокерит , Динамо Р ,5,6,  Б 
"01.11.2015, 17:00 ",Динамо М , Спартак ,5,4,  Б 
"01.11.2015, 19:30 ",Медвешчак , Слован ,6,2,
"02.11.2015, 19:30 ",Динамо Мн , Динамо Р ,2,0,
"10.11.2015, 16:00 ",Авангард , Йокерит ,0,1,
"10.11.2015, 16:30 ",Барыс , Динамо Р ,5,1,
"10.11.2015, 16:30 ",Сибирь , Металлург Нк ,6,4,
"10.11.2015, 17:00 ",Автомобилист , Трактор ,5,2,
"10.11.2015, 17:00 ",Югра , Нефтехимик ,2,1,
"10.11.2015, 18:00 ",Лада , Металлург Мг ,1,7,
"10.11.2015, 19:00 ",Ак Барс , Салават Юлаев ,3,2,
"10.11.2015, 19:00 ",Локомотив , Северсталь ,1,2,  Б 
"10.11.2015, 19:00 ",Торпедо , Слован ,5,3,
"10.11.2015, 19:30 ",Динамо Мн , Медвешчак ,1,4,
"10.11.2015, 19:30 ",СКА , Динамо М ,3,2,
"10.11.2015, 19:30 ",Спартак , Витязь ,2,1,
"10.11.2015, 19:30 ",ХК Сочи , ЦСКА ,2,4,
"12.11.2015, 15:00 ",Металлург Нк , Адмирал ,0,2,
"12.11.2015, 16:00 ",Авангард , Динамо Р ,2,3,  Б 
"12.11.2015, 16:30 ",Барыс , Йокерит ,2,0,
"12.11.2015, 16:30 ",Сибирь , Амур ,0,7,
"12.11.2015, 17:00 ",Автомобилист , Нефтехимик ,0,4,
"12.11.2015, 17:00 ",Югра , Трактор ,3,1,
"12.11.2015, 18:00 ",Лада , Салават Юлаев ,3,0,
"12.11.2015, 19:00 ",Ак Барс , Металлург Мг ,2,3,  Б 
"12.11.2015, 19:00 ",Локомотив , ЦСКА ,0,2,
"12.11.2015, 19:00 ",Торпедо , Медвешчак ,5,2,
"12.11.2015, 19:30 ",Динамо Мн , Слован ,2,1,
